school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
GP,F,18,U,GT3,A,4,4,AT_HOME,TEACHER,COURSE,MOTHER,2,2,0,YES,NO,NO,NO,YES,YES,NO,NO,4,3,4,1,1,3,6,5,6,6
GP,F,17,U,GT3,T,1,1,AT_HOME,OTHER,COURSE,FATHER,1,2,0,NO,YES,NO,NO,NO,YES,YES,NO,5,3,3,1,1,3,4,5,5,6
GP,F,15,U,LE3,T,1,1,AT_HOME,OTHER,OTHER,MOTHER,1,2,3,YES,NO,YES,NO,YES,YES,YES,NO,4,3,2,2,3,3,10,7,8,10
GP,F,15,U,GT3,T,4,2,HEALTH,SERVICES,HOME,MOTHER,1,3,0,NO,YES,YES,YES,YES,YES,YES,YES,3,2,2,1,1,5,2,15,14,15
GP,F,16,U,GT3,T,3,3,OTHER,OTHER,HOME,FATHER,1,2,0,NO,YES,YES,NO,YES,YES,NO,NO,4,3,2,1,2,5,4,6,10,10
GP,M,16,U,LE3,T,4,3,SERVICES,OTHER,REPUTATION,MOTHER,1,2,0,NO,YES,YES,YES,YES,YES,YES,NO,5,4,2,1,2,5,10,15,15,15
GP,M,16,U,LE3,T,2,2,OTHER,OTHER,HOME,MOTHER,1,2,0,NO,NO,NO,NO,YES,YES,YES,NO,4,4,4,1,1,3,0,12,12,11
GP,F,17,U,GT3,A,4,4,OTHER,TEACHER,HOME,MOTHER,2,2,0,YES,YES,NO,NO,YES,YES,NO,NO,4,1,4,1,1,1,6,6,5,6
GP,M,15,U,LE3,A,3,2,SERVICES,OTHER,HOME,MOTHER,1,2,0,NO,YES,YES,NO,YES,YES,YES,NO,4,2,2,1,1,1,0,16,18,19
GP,M,15,U,GT3,T,3,4,OTHER,OTHER,HOME,MOTHER,1,2,0,NO,YES,YES,YES,YES,YES,YES,NO,5,5,1,1,1,5,0,14,15,15
GP,F,15,U,GT3,T,4,4,TEACHER,HEALTH,REPUTATION,MOTHER,1,2,0,NO,YES,YES,NO,YES,YES,YES,NO,3,3,3,1,2,2,0,10,8,9
GP,F,15,U,GT3,T,2,1,SERVICES,OTHER,REPUTATION,FATHER,3,3,0,NO,YES,NO,YES,YES,YES,YES,NO,5,2,2,1,1,4,4,10,12,12
GP,M,15,U,LE3,T,4,4,HEALTH,SERVICES,COURSE,FATHER,1,1,0,NO,YES,YES,YES,YES,YES,YES,NO,4,3,3,1,3,5,2,14,14,14
GP,M,15,U,GT3,T,4,3,TEACHER,OTHER,COURSE,MOTHER,2,2,0,NO,YES,YES,NO,YES,YES,YES,NO,5,4,3,1,2,3,2,10,10,11
GP,M,15,U,GT3,A,2,2,OTHER,OTHER,HOME,OTHER,1,3,0,NO,YES,NO,NO,YES,YES,YES,YES,4,5,2,1,1,3,0,14,16,16
GP,F,16,U,GT3,T,4,4,HEALTH,OTHER,HOME,MOTHER,1,1,0,NO,YES,NO,NO,YES,YES,YES,NO,4,4,4,1,2,2,4,14,14,14
GP,F,16,U,GT3,T,4,4,SERVICES,SERVICES,REPUTATION,MOTHER,1,3,0,NO,YES,YES,YES,YES,YES,YES,NO,3,2,3,1,2,2,6,13,14,14
GP,F,16,U,GT3,T,3,3,OTHER,OTHER,REPUTATION,MOTHER,3,2,0,YES,YES,NO,YES,YES,YES,NO,NO,5,3,2,1,1,4,4,8,10,10
GP,M,17,U,GT3,T,3,2,SERVICES,SERVICES,COURSE,MOTHER,1,1,3,NO,YES,NO,YES,YES,YES,YES,NO,5,5,5,2,4,5,16,6,5,5
GP,M,16,U,LE3,T,4,3,HEALTH,OTHER,HOME,FATHER,1,1,0,NO,NO,YES,YES,YES,YES,YES,NO,3,1,3,1,3,5,4,8,10,10
GP,M,15,U,GT3,T,4,3,TEACHER,OTHER,REPUTATION,MOTHER,1,2,0,NO,NO,NO,NO,YES,YES,YES,NO,4,4,1,1,1,1,0,13,14,15
GP,M,15,U,GT3,T,4,4,HEALTH,HEALTH,OTHER,FATHER,1,1,0,NO,YES,YES,NO,YES,YES,YES,NO,5,4,2,1,1,5,0,12,15,15
GP,M,16,U,LE3,T,4,2,TEACHER,OTHER,COURSE,MOTHER,1,2,0,NO,NO,NO,YES,YES,YES,YES,NO,4,5,1,1,3,5,2,15,15,16
GP,M,16,U,LE3,T,2,2,OTHER,OTHER,REPUTATION,MOTHER,2,2,0,NO,YES,NO,YES,YES,YES,YES,NO,5,4,4,2,4,5,0,13,13,12
GP,F,15,R,GT3,T,2,4,SERVICES,HEALTH,COURSE,MOTHER,1,3,0,YES,YES,YES,YES,YES,YES,YES,NO,4,3,2,1,1,5,2,10,9,8
